seq,test,journal,correlation,pvalue,lagtime,test2,pvalue2,absCorrelation
67,A_ImpFac_PubNum,Front Psychiatry,-0.52129552,0.004996454,-2,A_ImpFac_PubNum_lag _2,-0.004996454,0.52129552
68,A_ImpFac_PubNum,Front Psychiatry,-0.455726914,0.014121235,-1,A_ImpFac_PubNum_lag _1,-0.014121235,0.455726914
69,A_ImpFac_PubNum,Int J Mol Sci,-0.556971696,0.002705258,-4,A_ImpFac_PubNum_lag _4,-0.002705258,0.556971696
70,A_ImpFac_PubNum,Int J Mol Sci,0.065389113,0.724739909,-3,A_ImpFac_PubNum_lag _3,0.724739909,0.065389113
71,A_ImpFac_PubNum,Int J Mol Sci,0.049541446,0.789631738,-2,A_ImpFac_PubNum_lag _2,0.789631738,0.049541446
72,A_ImpFac_PubNum,Int J Mol Sci,0.285503803,0.124174578,-1,A_ImpFac_PubNum_lag _1,0.124174578,0.285503803
73,A_ImpFac_PubNum,Mediators Inflamm,0.319579483,0.085252967,-4,A_ImpFac_PubNum_lag _4,0.085252967,0.319579483
74,A_ImpFac_PubNum,Mediators Inflamm,-0.127573625,0.492079579,-3,A_ImpFac_PubNum_lag _3,-0.492079579,0.127573625
75,A_ImpFac_PubNum,Mediators Inflamm,0.268082643,0.148832045,-2,A_ImpFac_PubNum_lag _2,0.148832045,0.268082643
76,A_ImpFac_PubNum,Mediators Inflamm,-0.014015462,0.93983633,-1,A_ImpFac_PubNum_lag _1,-0.93983633,0.014015462
77,A_ImpFac_PubNum,Biomed Res Int,0.065317992,0.725027147,-4,A_ImpFac_PubNum_lag _4,0.725027147,0.065317992
78,A_ImpFac_PubNum,Biomed Res Int,0.009068113,0.961052159,-3,A_ImpFac_PubNum_lag _3,0.961052159,0.009068113
79,A_ImpFac_PubNum,Biomed Res Int,-0.075315279,0.685047413,-2,A_ImpFac_PubNum_lag _2,-0.685047413,0.075315279
80,A_ImpFac_PubNum,Biomed Res Int,0.018726807,0.919671961,-1,A_ImpFac_PubNum_lag _1,0.919671961,0.018726807
81,A_ImpFac_PubNum,Front Immunol,0.176263684,0.342514332,-4,A_ImpFac_PubNum_lag _4,0.342514332,0.176263684
82,A_ImpFac_PubNum,Front Immunol,-0.096338281,0.603901946,-3,A_ImpFac_PubNum_lag _3,-0.603901946,0.096338281
83,A_ImpFac_PubNum,Front Immunol,-0.421550761,0.023200283,-2,A_ImpFac_PubNum_lag _2,-0.023200283,0.421550761
84,A_ImpFac_PubNum,Front Immunol,-0.032086202,0.8628169,-1,A_ImpFac_PubNum_lag _1,-0.8628169,0.032086202
85,A_ImpFac_PubNum,BMC Public Health,0.070808656,0.702968571,-4,A_ImpFac_PubNum_lag _4,0.702968571,0.070808656
86,A_ImpFac_PubNum,BMC Public Health,-0.010041611,0.956874829,-3,A_ImpFac_PubNum_lag _3,-0.956874829,0.010041611
87,A_ImpFac_PubNum,BMC Public Health,0.515236155,0.005526427,-2,A_ImpFac_PubNum_lag _2,0.005526427,0.515236155
88,A_ImpFac_PubNum,BMC Public Health,0.676221927,0.000270984,-1,A_ImpFac_PubNum_lag _1,0.000270984,0.676221927
89,B_PubNum_ImpFac,eBioMedicine,0.0107424,0.953868433,-4,B_PubNum_ImpFac_lag _4,0.953868433,0.0107424
90,B_PubNum_ImpFac,eBioMedicine,0.51791371,0.005286279,-3,B_PubNum_ImpFac_lag _3,0.005286279,0.51791371
91,B_PubNum_ImpFac,eBioMedicine,-0.162292406,0.382133855,-2,B_PubNum_ImpFac_lag _2,-0.382133855,0.162292406
92,B_PubNum_ImpFac,eBioMedicine,-0.327219716,0.078046981,-1,B_PubNum_ImpFac_lag _1,-0.078046981,0.327219716
93,B_PubNum_ImpFac,Lancet Glob Health,0.147198927,0.427958177,-4,B_PubNum_ImpFac_lag _4,0.427958177,0.147198927
94,B_PubNum_ImpFac,Lancet Glob Health,0.117933126,0.525370163,-3,B_PubNum_ImpFac_lag _3,0.525370163,0.117933126
95,B_PubNum_ImpFac,Lancet Glob Health,0.021040195,0.909788819,-2,B_PubNum_ImpFac_lag _2,0.909788819,0.021040195
96,B_PubNum_ImpFac,Lancet Glob Health,0.337840955,0.068861218,-1,B_PubNum_ImpFac_lag _1,0.068861218,0.337840955
97,B_PubNum_ImpFac,BMJ Open,0.038236242,0.836862415,-4,B_PubNum_ImpFac_lag _4,0.836862415,0.038236242
98,B_PubNum_ImpFac,BMJ Open,0.170609164,0.358221922,-3,B_PubNum_ImpFac_lag _3,0.358221922,0.170609164
99,B_PubNum_ImpFac,BMJ Open,-0.077108405,0.677965143,-2,B_PubNum_ImpFac_lag _2,-0.677965143,0.077108405
100,B_PubNum_ImpFac,BMJ Open,0.414676258,0.025542351,-1,B_PubNum_ImpFac_lag _1,0.025542351,0.414676258
101,B_PubNum_ImpFac,Nat Commun,0.08197401,0.658891917,-4,B_PubNum_ImpFac_lag _4,0.658891917,0.08197401
102,B_PubNum_ImpFac,Nat Commun,-0.018483301,0.920713007,-3,B_PubNum_ImpFac_lag _3,-0.920713007,0.018483301
103,B_PubNum_ImpFac,Nat Commun,-0.019712,0.915461463,-2,B_PubNum_ImpFac_lag _2,-0.915461463,0.019712
104,B_PubNum_ImpFac,Nat Commun,0.280235325,0.131269803,-1,B_PubNum_ImpFac_lag _1,0.131269803,0.280235325
105,B_PubNum_ImpFac,Sci Adv,-0.298836464,0.107554342,-4,B_PubNum_ImpFac_lag _4,-0.107554342,0.298836464
106,B_PubNum_ImpFac,Sci Adv,0.111206786,0.549261665,-3,B_PubNum_ImpFac_lag _3,0.549261665,0.111206786
107,B_PubNum_ImpFac,Sci Adv,0.58397982,0.001661847,-2,B_PubNum_ImpFac_lag _2,0.001661847,0.58397982
108,B_PubNum_ImpFac,Sci Adv,0.431443693,0.020157921,-1,B_PubNum_ImpFac_lag _1,0.020157921,0.431443693
109,B_PubNum_ImpFac,JAMA Netw Open,-0.407373713,0.028251619,-4,B_PubNum_ImpFac_lag _4,-0.028251619,0.407373713
110,B_PubNum_ImpFac,JAMA Netw Open,-0.216968915,0.242640067,-3,B_PubNum_ImpFac_lag _3,-0.242640067,0.216968915
111,B_PubNum_ImpFac,JAMA Netw Open,0.343209397,0.064567752,-2,B_PubNum_ImpFac_lag _2,0.064567752,0.343209397
112,B_PubNum_ImpFac,JAMA Netw Open,0.752757327,5.04E-05,-1,B_PubNum_ImpFac_lag _1,5.04091E-05,0.752757327
113,B_PubNum_ImpFac,Cell Rep,0.172836133,0.35198235,-4,B_PubNum_ImpFac_lag _4,0.35198235,0.172836133
114,B_PubNum_ImpFac,Cell Rep,-0.047899166,0.79644943,-3,B_PubNum_ImpFac_lag _3,-0.79644943,0.047899166
115,B_PubNum_ImpFac,Cell Rep,0.272519831,0.142222637,-2,B_PubNum_ImpFac_lag _2,0.142222637,0.272519831
116,B_PubNum_ImpFac,Cell Rep,0.164009257,0.377119104,-1,B_PubNum_ImpFac_lag _1,0.377119104,0.164009257
117,B_PubNum_ImpFac,Heliyon,0.368437821,0.047244873,-4,B_PubNum_ImpFac_lag _4,0.047244873,0.368437821
118,B_PubNum_ImpFac,Heliyon,0.162969575,0.380151048,-3,B_PubNum_ImpFac_lag _3,0.380151048,0.162969575
119,B_PubNum_ImpFac,Heliyon,-0.20713242,0.264660967,-2,B_PubNum_ImpFac_lag _2,-0.264660967,0.20713242
120,B_PubNum_ImpFac,Heliyon,-0.587198047,0.001566044,-1,B_PubNum_ImpFac_lag _1,-0.001566044,0.587198047
121,B_PubNum_ImpFac,Molecules,-0.18763869,0.31227243,-4,B_PubNum_ImpFac_lag _4,-0.31227243,0.18763869
122,B_PubNum_ImpFac,Molecules,0.081800973,0.659566524,-3,B_PubNum_ImpFac_lag _3,0.659566524,0.081800973
123,B_PubNum_ImpFac,Molecules,0.040076301,0.829130019,-2,B_PubNum_ImpFac_lag _2,0.829130019,0.040076301
124,B_PubNum_ImpFac,Molecules,0.311913685,0.093014415,-1,B_PubNum_ImpFac_lag _1,0.093014415,0.311913685
125,B_PubNum_ImpFac,BMC Bioinformatics,-0.22207232,0.231737131,-4,B_PubNum_ImpFac_lag _4,-0.231737131,0.22207232
126,B_PubNum_ImpFac,BMC Bioinformatics,-0.193513987,0.297363133,-3,B_PubNum_ImpFac_lag _3,-0.297363133,0.193513987
127,B_PubNum_ImpFac,BMC Bioinformatics,-0.275826836,0.137445052,-2,B_PubNum_ImpFac_lag _2,-0.137445052,0.275826836
128,B_PubNum_ImpFac,BMC Bioinformatics,-0.107631136,0.562176701,-1,B_PubNum_ImpFac_lag _1,-0.562176701,0.107631136
129,B_PubNum_ImpFac,Genome Biol,-0.178149316,0.337375694,-4,B_PubNum_ImpFac_lag _4,-0.337375694,0.178149316
130,B_PubNum_ImpFac,Genome Biol,-0.05631578,0.761684293,-3,B_PubNum_ImpFac_lag _3,-0.761684293,0.05631578
131,B_PubNum_ImpFac,Genome Biol,-0.032468126,0.861200478,-2,B_PubNum_ImpFac_lag _2,-0.861200478,0.032468126
132,B_PubNum_ImpFac,Genome Biol,-0.032754927,0.859987025,-1,B_PubNum_ImpFac_lag _1,-0.859987025,0.032754927
133,B_PubNum_ImpFac,PLoS One,-0.367047935,0.048085321,-4,B_PubNum_ImpFac_lag _4,-0.048085321,0.367047935
134,B_PubNum_ImpFac,PLoS One,-0.241310164,0.193774107,-3,B_PubNum_ImpFac_lag _3,-0.193774107,0.241310164
135,B_PubNum_ImpFac,PLoS One,-0.197837882,0.286699661,-2,B_PubNum_ImpFac_lag _2,-0.286699661,0.197837882
136,B_PubNum_ImpFac,PLoS One,-0.055441336,0.765275232,-1,B_PubNum_ImpFac_lag _1,-0.765275232,0.055441336
137,B_PubNum_ImpFac,PLoS Biol,0.427878743,0.021211557,-4,B_PubNum_ImpFac_lag _4,0.021211557,0.427878743
138,B_PubNum_ImpFac,PLoS Biol,0.264474635,0.154377155,-3,B_PubNum_ImpFac_lag _3,0.154377155,0.264474635
139,B_PubNum_ImpFac,PLoS Biol,-0.359762306,0.052698994,-2,B_PubNum_ImpFac_lag _2,-0.052698994,0.359762306
140,B_PubNum_ImpFac,PLoS Biol,-0.310753426,0.094237087,-1,B_PubNum_ImpFac_lag _1,-0.094237087,0.310753426
141,B_PubNum_ImpFac,PLoS Med,-0.105836069,0.568715224,-4,B_PubNum_ImpFac_lag _4,-0.568715224,0.105836069
142,B_PubNum_ImpFac,PLoS Med,-0.066914067,0.718590439,-3,B_PubNum_ImpFac_lag _3,-0.718590439,0.066914067
143,B_PubNum_ImpFac,PLoS Med,0.127394877,0.492686365,-2,B_PubNum_ImpFac_lag _2,0.492686365,0.127394877
144,B_PubNum_ImpFac,PLoS Med,0.166866887,0.368862728,-1,B_PubNum_ImpFac_lag _1,0.368862728,0.166866887
145,B_PubNum_ImpFac,Front Neurosci,0.173988019,0.348782139,-4,B_PubNum_ImpFac_lag _4,0.348782139,0.173988019
146,B_PubNum_ImpFac,Front Neurosci,0.213031142,0.251295746,-3,B_PubNum_ImpFac_lag _3,0.251295746,0.213031142
147,B_PubNum_ImpFac,Front Neurosci,-0.046059389,0.804105467,-2,B_PubNum_ImpFac_lag _2,-0.804105467,0.046059389
148,B_PubNum_ImpFac,Front Neurosci,0.186966456,0.31400918,-1,B_PubNum_ImpFac_lag _1,0.31400918,0.186966456
149,B_PubNum_ImpFac,Sci Rep,-0.24492736,0.187177738,-4,B_PubNum_ImpFac_lag _4,-0.187177738,0.24492736
150,B_PubNum_ImpFac,Sci Rep,-0.157382765,0.396698587,-3,B_PubNum_ImpFac_lag _3,-0.396698587,0.157382765
151,B_PubNum_ImpFac,Sci Rep,-0.048160879,0.795361911,-2,B_PubNum_ImpFac_lag _2,-0.795361911,0.048160879
152,B_PubNum_ImpFac,Sci Rep,0.391438006,0.035034608,-1,B_PubNum_ImpFac_lag _1,0.035034608,0.391438006
153,B_PubNum_ImpFac,Front Psychiatry,0.197296638,0.288020141,-4,B_PubNum_ImpFac_lag _4,0.288020141,0.197296638
154,B_PubNum_ImpFac,Front Psychiatry,0.259479442,0.162311485,-3,B_PubNum_ImpFac_lag _3,0.162311485,0.259479442
155,B_PubNum_ImpFac,Front Psychiatry,0.114528482,0.537396503,-2,B_PubNum_ImpFac_lag _2,0.537396503,0.114528482
156,B_PubNum_ImpFac,Front Psychiatry,0.699223331,0.000166261,-1,B_PubNum_ImpFac_lag _1,0.000166261,0.699223331
157,B_PubNum_ImpFac,Int J Mol Sci,-0.134017414,0.470475338,-4,B_PubNum_ImpFac_lag _4,-0.470475338,0.134017414
158,B_PubNum_ImpFac,Int J Mol Sci,0.099796084,0.590978663,-3,B_PubNum_ImpFac_lag _3,0.590978663,0.099796084
159,B_PubNum_ImpFac,Int J Mol Sci,0.045985893,0.804411713,-2,B_PubNum_ImpFac_lag _2,0.804411713,0.045985893
160,B_PubNum_ImpFac,Int J Mol Sci,0.007232652,0.968931033,-1,B_PubNum_ImpFac_lag _1,0.968931033,0.007232652
161,B_PubNum_ImpFac,Mediators Inflamm,-0.136201905,0.463272,-4,B_PubNum_ImpFac_lag _4,-0.463272,0.136201905
162,B_PubNum_ImpFac,Mediators Inflamm,0.425878111,0.021823617,-3,B_PubNum_ImpFac_lag _3,0.021823617,0.425878111
163,B_PubNum_ImpFac,Mediators Inflamm,-0.344710265,0.063407734,-2,B_PubNum_ImpFac_lag _2,-0.063407734,0.344710265
164,B_PubNum_ImpFac,Mediators Inflamm,-0.110159507,0.553029177,-1,B_PubNum_ImpFac_lag _1,-0.553029177,0.110159507
165,B_PubNum_ImpFac,Biomed Res Int,0.159057748,0.39169242,-4,B_PubNum_ImpFac_lag _4,0.39169242,0.159057748
166,B_PubNum_ImpFac,Biomed Res Int,-0.088813132,0.632455659,-3,B_PubNum_ImpFac_lag _3,-0.632455659,0.088813132
167,B_PubNum_ImpFac,Biomed Res Int,0.075390541,0.684749588,-2,B_PubNum_ImpFac_lag _2,0.684749588,0.075390541
168,B_PubNum_ImpFac,Biomed Res Int,-0.398730941,0.03177483,-1,B_PubNum_ImpFac_lag _1,-0.03177483,0.398730941
169,B_PubNum_ImpFac,Front Immunol,0.360478697,0.052229513,-4,B_PubNum_ImpFac_lag _4,0.052229513,0.360478697
170,B_PubNum_ImpFac,Front Immunol,0.122953683,0.507890573,-3,B_PubNum_ImpFac_lag _3,0.507890573,0.122953683
171,B_PubNum_ImpFac,Front Immunol,-0.270428945,0.145308479,-2,B_PubNum_ImpFac_lag _2,-0.145308479,0.270428945
172,B_PubNum_ImpFac,Front Immunol,-0.069853568,0.706788304,-1,B_PubNum_ImpFac_lag _1,-0.706788304,0.069853568
173,B_PubNum_ImpFac,BMC Public Health,0.042340092,0.819639732,-4,B_PubNum_ImpFac_lag _4,0.819639732,0.042340092
174,B_PubNum_ImpFac,BMC Public Health,0.067358625,0.716801137,-3,B_PubNum_ImpFac_lag _3,0.716801137,0.067358625
175,B_PubNum_ImpFac,BMC Public Health,0.010554128,0.954676059,-2,B_PubNum_ImpFac_lag _2,0.954676059,0.010554128
176,B_PubNum_ImpFac,BMC Public Health,0.250438758,0.177448132,-1,B_PubNum_ImpFac_lag _1,0.177448132,0.250438758
177,C_ImpFac_Price,eBioMedicine,0.102568359,0.580710279,-4,C_ImpFac_Price_lag _4,0.580710279,0.102568359
178,C_ImpFac_Price,eBioMedicine,-0.633890049,0.000641101,-3,C_ImpFac_Price_lag _3,-0.000641101,0.633890049
179,C_ImpFac_Price,eBioMedicine,0.615327132,0.000920906,-2,C_ImpFac_Price_lag _2,0.000920906,0.615327132
180,C_ImpFac_Price,eBioMedicine,0.567519707,0.002241713,-1,C_ImpFac_Price_lag _1,0.002241713,0.567519707
181,C_ImpFac_Price,Lancet Glob Health,-0.374623576,0.043652776,-4,C_ImpFac_Price_lag _4,-0.043652776,0.374623576
182,C_ImpFac_Price,Lancet Glob Health,0.35930909,0.052997823,-3,C_ImpFac_Price_lag _3,0.052997823,0.35930909
183,C_ImpFac_Price,Lancet Glob Health,0.097938977,0.59790367,-2,C_ImpFac_Price_lag _2,0.59790367,0.097938977
184,C_ImpFac_Price,Lancet Glob Health,0.280330688,0.131138639,-1,C_ImpFac_Price_lag _1,0.131138639,0.280330688
185,C_ImpFac_Price,BMJ Open,-0.064802379,0.727110711,-4,C_ImpFac_Price_lag _4,-0.727110711,0.064802379
186,C_ImpFac_Price,BMJ Open,-0.089262645,0.630733959,-3,C_ImpFac_Price_lag _3,-0.630733959,0.089262645
187,C_ImpFac_Price,BMJ Open,-0.008657982,0.962812378,-2,C_ImpFac_Price_lag _2,-0.962812378,0.008657982
188,C_ImpFac_Price,BMJ Open,0.032171203,0.862457099,-1,C_ImpFac_Price_lag _1,0.862457099,0.032171203
189,C_ImpFac_Price,Nat Commun,-0.372755977,0.044712157,-4,C_ImpFac_Price_lag _4,-0.044712157,0.372755977
190,C_ImpFac_Price,Nat Commun,-0.038555341,0.835520324,-3,C_ImpFac_Price_lag _3,-0.835520324,0.038555341
191,C_ImpFac_Price,Nat Commun,0.141327863,0.446612968,-2,C_ImpFac_Price_lag _2,0.446612968,0.141327863
192,C_ImpFac_Price,Nat Commun,0.212634175,0.25218013,-1,C_ImpFac_Price_lag _1,0.25218013,0.212634175
193,C_ImpFac_Price,Sci Adv,-0.137257208,0.459814289,-4,C_ImpFac_Price_lag _4,-0.459814289,0.137257208
194,C_ImpFac_Price,Sci Adv,-0.113926718,0.53953643,-3,C_ImpFac_Price_lag _3,-0.53953643,0.113926718
195,C_ImpFac_Price,Sci Adv,-0.246280295,0.184753599,-2,C_ImpFac_Price_lag _2,-0.184753599,0.246280295
196,C_ImpFac_Price,Sci Adv,-0.50180215,0.006886423,-1,C_ImpFac_Price_lag _1,-0.006886423,0.50180215
197,C_ImpFac_Price,JAMA Netw Open,NA,NA,-4,C_ImpFac_Price_lag _4,NA,NA
198,C_ImpFac_Price,JAMA Netw Open,NA,NA,-3,C_ImpFac_Price_lag _3,NA,NA
199,C_ImpFac_Price,JAMA Netw Open,NA,NA,-2,C_ImpFac_Price_lag _2,NA,NA
200,C_ImpFac_Price,JAMA Netw Open,NA,NA,-1,C_ImpFac_Price_lag _1,NA,NA
201,C_ImpFac_Price,Cell Rep,0.209155321,0.260023378,-4,C_ImpFac_Price_lag _4,0.260023378,0.209155321
202,C_ImpFac_Price,Cell Rep,-0.16260346,0.381222276,-3,C_ImpFac_Price_lag _3,-0.381222276,0.16260346
203,C_ImpFac_Price,Cell Rep,0.41488661,0.025467761,-2,C_ImpFac_Price_lag _2,0.025467761,0.41488661
204,C_ImpFac_Price,Cell Rep,0.007356354,0.968399928,-1,C_ImpFac_Price_lag _1,0.968399928,0.007356354
205,C_ImpFac_Price,Heliyon,NA,NA,-4,C_ImpFac_Price_lag _4,NA,NA
206,C_ImpFac_Price,Heliyon,NA,NA,-3,C_ImpFac_Price_lag _3,NA,NA
